"topic_id","subject_id","topic_code","topic_name","description","display_order","is_active","created_at"
1,1,FAR-1.0,Development of Financial Reporting Framework,Standard-Setting Bodies and Regulation of the Accountancy Profession,1,1,"2026-01-16 09:13:22"
2,1,FAR-1.1,History and Functions of Standard-Setting Bodies,"IASB, IFRIC, SIC, FRSC, PIC",2,1,"2026-01-16 09:13:22"
3,1,FAR-1.2,Regulation of Accounting Profession,"Professional Regulatory Board, APO, Sectors of Practice",3,1,"2026-01-16 09:13:22"
4,1,FAR-2.0,Conceptual Framework for Financial Reporting,"Objectives, Qualitative Characteristics, Elements",4,1,"2026-01-16 09:13:22"
5,1,FAR-2.1,The Accounting Process,"Steps, Journals, Ledgers, Adjusting Entries",5,1,"2026-01-16 09:13:22"
6,1,FAR-2.2,Presentation of Financial Statements,"General Features, SFP, SCI, SCE, SCF",6,1,"2026-01-16 09:13:22"
7,1,FAR-2.3,Statement of Financial Position,"Definition of Elements, Classification",7,1,"2026-01-16 09:13:22"
8,1,FAR-2.4,Statement of Comprehensive Income,"Nature/Function of Expense, Continuing/Discontinued Operations",8,1,"2026-01-16 09:13:22"
9,1,FAR-2.5,Statement of Cash Flows,Direct and Indirect Methods,9,1,"2026-01-16 09:13:22"
10,1,FAR-2.6,Earnings Per Share,Basic EPS and Diluted EPS,10,1,"2026-01-16 09:13:22"
11,1,FAR-3.0,Cash and Cash Equivalents,"Nature, Composition, Bank Reconciliation, Petty Cash",11,1,"2026-01-16 09:13:22"
12,1,FAR-3.1,Financial Assets at FVPL,"Recognition, Measurement, Presentation",12,1,"2026-01-16 09:13:22"
13,1,FAR-3.2,Financial Assets at FVOCI,"Recognition, Measurement, Presentation",13,1,"2026-01-16 09:13:22"
14,1,FAR-3.3,Financial Assets at Amortized Cost,"Trade Receivables, Investment in Bonds",14,1,"2026-01-16 09:13:22"
15,1,FAR-3.4,Investment in Associates and Joint Ventures,Equity Method,15,1,"2026-01-16 09:13:22"
16,1,FAR-4.0,Inventories,"Nature, Cost Flow Assumptions, LCNRV, Estimation Methods",16,1,"2026-01-16 09:13:22"
17,1,FAR-4.1,"Property, Plant and Equipment","Recognition, Depreciation, Revaluation, Impairment",17,1,"2026-01-16 09:13:22"
18,1,FAR-4.2,Borrowing Costs,Capitalization of Borrowing Costs,18,1,"2026-01-16 09:13:22"
19,1,FAR-4.3,Investment Property,"Cost Model, Fair Value Model",19,1,"2026-01-16 09:13:22"
20,1,FAR-4.4,Intangible Assets,"Recognition, Amortization, Impairment",20,1,"2026-01-16 09:13:22"
21,1,FAR-4.5,Biological Assets,"Nature, Measurement, Agricultural Produce",21,1,"2026-01-16 09:13:22"
22,1,FAR-4.6,Non-current Assets Held for Sale,"Classification, Measurement",22,1,"2026-01-16 09:13:22"
23,1,FAR-5.0,Financial Liabilities,"Classification, Effective Interest Method, Troubled Debt",23,1,"2026-01-16 09:13:22"
24,1,FAR-6.0,Non-financial Liabilities and Provisions,"Customer Loyalty, Warranties, Contingencies",24,1,"2026-01-16 09:13:22"
25,1,FAR-7.0,Share Capital Transactions,"Issuance, Treasury Shares, Retirement",25,1,"2026-01-16 09:13:22"
26,1,FAR-7.1,Retained Earnings,"Prior Period Errors, Dividends, Quasi-Reorganization",26,1,"2026-01-16 09:13:22"
27,1,FAR-7.2,Other Comprehensive Income,Components of OCI,27,1,"2026-01-16 09:13:22"
28,1,FAR-7.3,Book Value Per Share,Computation,28,1,"2026-01-16 09:13:22"
29,1,FAR-8.1,Share-based Payments,"Equity-settled, Cash-settled",29,1,"2026-01-16 09:13:22"
30,1,FAR-8.2,Leases,"Lessee and Lessor Accounting, Sale-Leaseback",30,1,"2026-01-16 09:13:22"
31,1,FAR-8.3,Income Tax,Current and Deferred Tax,31,1,"2026-01-16 09:13:22"
32,1,FAR-8.4,Employee Benefits,"Defined Benefit, Defined Contribution",32,1,"2026-01-16 09:13:22"
33,1,FAR-8.5,Interim Reporting,"Components, Recognition Principles",33,1,"2026-01-16 09:13:22"
34,1,FAR-8.6,Operating Segments,Identification and Reporting,34,1,"2026-01-16 09:13:22"
35,1,FAR-9.0,Other Reporting Frameworks,"PFRS for SMEs, Small Entities, Microenterprises",35,1,"2026-01-16 09:13:22"
36,2,AFAR-1.0,Partnership Formation,"Nature, Scope, Initial Capital Contribution",1,1,"2026-01-16 09:13:22"
37,2,AFAR-1.1,Partnership Operations and Dissolution,"Admission, Withdrawal, Retirement of Partners",2,1,"2026-01-16 09:13:22"
38,2,AFAR-1.2,Partnership Liquidation,Lump-sum and Installment Methods,3,1,"2026-01-16 09:13:22"
39,2,AFAR-2.0,Corporate Liquidation,"Statement of Affairs, Deficiency, Realization",4,1,"2026-01-16 09:13:22"
40,2,AFAR-3.0,Joint Operations,"PFRS 11, Nature, Accounting Methods",5,1,"2026-01-16 09:13:22"
41,2,AFAR-3.1,Joint Ventures,Equity Method Application,6,1,"2026-01-16 09:13:22"
42,2,AFAR-4.0,Revenue from Contracts - Five Steps,PFRS 15 Five-Step Model,7,1,"2026-01-16 09:13:22"
43,2,AFAR-4.1,Revenue Recognition Issues,"Right of Return, Principal-Agent, Licensing",8,1,"2026-01-16 09:13:22"
44,2,AFAR-4.2,Long-term Construction Contracts,"Percentage of Completion, Input/Output Methods",9,1,"2026-01-16 09:13:22"
45,2,AFAR-4.3,Franchise Operations,Initial and Continuing Franchise Fees,10,1,"2026-01-16 09:13:22"
46,2,AFAR-4.4,Consignment Sales,Consignor and Consignee Accounting,11,1,"2026-01-16 09:13:22"
47,2,AFAR-5.0,Home Office and Branch Accounting,"Reciprocal Accounts, Combined Statements",12,1,"2026-01-16 09:13:22"
48,2,AFAR-6.0,Business Combination - PFRS 3,"Acquisition Method, Goodwill, Bargain Purchase",13,1,"2026-01-16 09:13:22"
49,2,AFAR-7.0,Separate Financial Statements - PAS 27,Investment in Subsidiaries at Cost,14,1,"2026-01-16 09:13:22"
50,2,AFAR-8.0,Consolidated Financial Statements - PFRS 10,"Consolidation Procedures, NCI, Intercompany",15,1,"2026-01-16 09:13:22"
51,2,AFAR-9.0,Derivatives and Hedging - PFRS 9,"Forwards, Futures, Options, Hedge Accounting",16,1,"2026-01-16 09:13:22"
52,2,AFAR-10.0,Foreign Currency Translation - PAS 21,"Functional Currency, Presentation Currency",17,1,"2026-01-16 09:13:22"
53,2,AFAR-11.0,Not-for-Profit Organizations,"VHWO, Hospitals, Colleges, Churches",18,1,"2026-01-16 09:13:22"
54,2,AFAR-12.0,Government Accounting,"GAM, Budget Process, Journal Entries",19,1,"2026-01-16 09:13:22"
55,2,AFAR-13.0,Cost Accounting Systems,"Actual, Normal, Standard Costing",20,1,"2026-01-16 09:13:22"
56,2,AFAR-13.1,Job-order Costing,"Journal Entries, Cost Accumulation",21,1,"2026-01-16 09:13:22"
57,2,AFAR-13.2,Process Costing,"FIFO, Average Method, Lost Units",22,1,"2026-01-16 09:13:22"
58,2,AFAR-13.3,Activity-Based Costing,ABC vs Traditional Costing,23,1,"2026-01-16 09:13:22"
59,2,AFAR-13.4,Joint and By-Products,Joint Cost Allocation Methods,24,1,"2026-01-16 09:13:22"
60,2,AFAR-13.5,Service Cost Allocation,"Direct, Step-down, Reciprocal Methods",25,1,"2026-01-16 09:13:22"
61,2,AFAR-14.0,Insurance Contracts - PFRS 17,"Types, Recognition, Measurement",26,1,"2026-01-16 09:13:22"
62,2,AFAR-14.1,Service Concession Arrangements,"IFRIC 12, BOT Accounting",27,1,"2026-01-16 09:13:22"
63,3,AUD-1.0,Assurance Engagements,"Nature, Objectives, Elements, Types",1,1,"2026-01-16 09:13:22"
64,3,AUD-1.1,Introduction to Auditing,"Philosophy, Objectives, Types of Audit",2,1,"2026-01-16 09:13:22"
65,3,AUD-2.0,Risk-based Audit Overview,"Pre-engagement, Planning, Supervision",3,1,"2026-01-16 09:13:22"
66,3,AUD-2.1,Audit Planning,"Knowledge of Business, Materiality, Audit Risk",4,1,"2026-01-16 09:13:22"
67,3,AUD-2.2,Understanding Entity and Environment,"Industry, Internal Control Assessment",5,1,"2026-01-16 09:13:22"
68,3,AUD-2.3,Internal Control,"Components, Testing Controls, Documentation",6,1,"2026-01-16 09:13:22"
69,3,AUD-2.4,Risk of Material Misstatement,"Fraud, Significant Risks, Risk Assessment",7,1,"2026-01-16 09:13:22"
70,3,AUD-3.0,Audit Objectives and Procedures,"Nature, Audit Techniques, Sampling",8,1,"2026-01-16 09:13:22"
71,3,AUD-3.1,Audit Evidence,"Sufficiency, Appropriateness, Types",9,1,"2026-01-16 09:13:22"
72,3,AUD-3.2,Audit Documentation,"Working Papers, File Organization",10,1,"2026-01-16 09:13:22"
73,3,AUD-4.0,Completing the Audit,"Analytical Procedures, Subsequent Events",11,1,"2026-01-16 09:13:22"
74,3,AUD-4.1,Going Concern,"Assessment, Indicators, Reporting",12,1,"2026-01-16 09:13:22"
75,3,AUD-4.2,Management Representations,Written Representations,13,1,"2026-01-16 09:13:22"
76,3,AUD-5.0,Unqualified Audit Report,"Basic Elements, Standard Report",14,1,"2026-01-16 09:13:22"
77,3,AUD-5.1,Modified Audit Reports,"Qualified, Adverse, Disclaimer",15,1,"2026-01-16 09:13:22"
78,3,AUD-5.2,Key Audit Matters,"Communication, Reporting",16,1,"2026-01-16 09:13:22"
79,3,AUD-6.0,Auditing in CIS Environment,"General Controls, Application Controls",17,1,"2026-01-16 09:13:22"
80,3,AUD-6.1,Computer Assisted Audit Techniques,"CAATs, E-commerce Audit",18,1,"2026-01-16 09:13:22"
81,3,AUD-7.0,Special Purpose Audit Engagements,"Components, Compliance, Summarized FS",19,1,"2026-01-16 09:13:22"
82,3,AUD-7.1,Review Engagements,"Procedures, Reports",20,1,"2026-01-16 09:13:22"
83,3,AUD-7.2,Agreed-upon Procedures,"Nature, Reporting",21,1,"2026-01-16 09:13:22"
84,3,AUD-7.3,Compilation Engagements,Preparation of Financial Information,22,1,"2026-01-16 09:13:22"
85,3,AUD-8.0,Corporate Governance,"Principles, Board Responsibilities",23,1,"2026-01-16 09:13:22"
86,3,AUD-8.1,Ethics and Professional Responsibilities,"Code of Ethics, Independence",24,1,"2026-01-16 09:13:22"
87,3,AUD-8.2,Quality Management,"ISQM 1, Elements, Leadership",25,1,"2026-01-16 09:13:22"
88,3,AUD-9.0,Order to Cash Cycle,"Revenue, Receivables Audit",26,1,"2026-01-16 09:13:22"
89,3,AUD-9.1,Purchase to Pay Cycle,"Purchases, Payables Audit",27,1,"2026-01-16 09:13:22"
90,3,AUD-9.2,Inventory and Payroll Cycles,"Plan to Inventory, Hire to Retire",28,1,"2026-01-16 09:13:22"
91,4,TAX-1.0,Principles of Taxation,"Nature, Classification, Situs, Double Taxation",1,1,"2026-01-16 09:13:22"
92,4,TAX-1.1,Tax Administration,"BIR Organization, BOI, PEZA, BCDA",2,1,"2026-01-16 09:13:22"
93,4,TAX-2.0,Tax Remedies,"Government Remedies, Taxpayer Remedies",3,1,"2026-01-16 09:13:22"
94,4,TAX-3.0,Income Tax - Taxpayers and Tax Base,"Classification of Taxpayers, Taxable Income",4,1,"2026-01-16 09:13:22"
95,4,TAX-3.1,Gross Income,"Inclusions, Exclusions",5,1,"2026-01-16 09:13:22"
96,4,TAX-3.2,Deductions from Gross Income,"Itemized, Optional Standard Deduction",6,1,"2026-01-16 09:13:22"
97,4,TAX-3.3,Income Tax Computation,"Individual, Corporate Tax",7,1,"2026-01-16 09:13:22"
98,4,TAX-3.4,Withholding Taxes,"Creditable, Final, Expanded",8,1,"2026-01-16 09:13:22"
99,4,TAX-3.5,Income Tax Compliance,"Returns, Filing, Payment",9,1,"2026-01-16 09:13:22"
100,4,TAX-3.6,Special Laws on Income Tax,"Senior Citizens, PWD, BMBE",10,1,"2026-01-16 09:13:22"
101,4,TAX-4.0,Estate Tax,"Gross Estate, Deductions, Tax Computation",11,1,"2026-01-16 09:13:22"
102,4,TAX-4.1,Donors Tax,"Net Gifts, Exemptions, Tax Computation",12,1,"2026-01-16 09:13:22"
103,4,TAX-5.0,Value-Added Tax,"Nature, VAT-able Transactions, Input/Output VAT",13,1,"2026-01-16 09:13:22"
104,4,TAX-5.1,VAT Computation and Compliance,"VAT Payable, Returns, Refund",14,1,"2026-01-16 09:13:22"
105,4,TAX-5.2,Percentage Tax,"Nature, Transactions Subject",15,1,"2026-01-16 09:13:22"
106,4,TAX-6.0,Documentary Stamp Tax,"Transactions Subject, Tax Rates",16,1,"2026-01-16 09:13:22"
107,4,TAX-7.0,Excise Tax,"Nature, Transactions Subject",17,1,"2026-01-16 09:13:22"
108,4,TAX-8.0,Local Government Taxation,"Taxing Powers, Types of Local Taxes",18,1,"2026-01-16 09:13:22"
109,4,TAX-8.1,Real Property Tax,"Assessment, Computation, Remedies",19,1,"2026-01-16 09:13:22"
110,4,TAX-9.0,PEZA and Special Economic Zones,"Income Tax Incentives, VAT Incentives",20,1,"2026-01-16 09:13:22"
111,4,TAX-9.1,Tax Treaties,"DTA Models, Royalties, Dividends, Interest",21,1,"2026-01-16 09:13:22"
112,5,MS-1.0,Management Accounting Fundamentals,"Objectives, Role, Scope, Controller vs Treasurer",1,1,"2026-01-16 09:13:22"
113,5,MS-1.1,Cost Terms and Behavior,"Classification, Variable, Fixed, Mixed Costs",2,1,"2026-01-16 09:13:22"
114,5,MS-1.2,Cost-Volume-Profit Analysis,"Break-even, Target Profit, Sales Mix",3,1,"2026-01-16 09:13:22"
115,5,MS-1.3,Standard Costing and Variance Analysis,"Material, Labor, Overhead Variances",4,1,"2026-01-16 09:13:22"
116,5,MS-1.4,Variable vs Absorption Costing,"Product Cost, Period Cost, Reconciliation",5,1,"2026-01-16 09:13:22"
117,5,MS-1.5,Financial Planning and Budgets,"Master Budget, Flexible Budget, Zero-based",6,1,"2026-01-16 09:13:22"
118,5,MS-2.0,Responsibility Accounting,"Cost, Revenue, Profit, Investment Centers",7,1,"2026-01-16 09:13:22"
119,5,MS-2.1,Transfer Pricing,"Market-based, Cost-based, Negotiated Price",8,1,"2026-01-16 09:13:22"
120,5,MS-2.2,Balanced Scorecard,"Four Perspectives, Performance Measures",9,1,"2026-01-16 09:13:22"
121,5,MS-3.0,Relevant Costing,"Differential Analysis, Opportunity Costs",10,1,"2026-01-16 09:13:22"
122,5,MS-3.1,Short-term Decisions,"Make or Buy, Special Order, Drop/Continue",11,1,"2026-01-16 09:13:22"
123,5,MS-3.2,Linear Programming,"Graphical Method, Algebraic Method",12,1,"2026-01-16 09:13:22"
124,5,MS-4.0,Financial Management Overview,"Nature, Purpose, Role of Financial Managers",13,1,"2026-01-16 09:13:22"
125,5,MS-4.1,Financial Statement Analysis,"Vertical, Horizontal, Ratio Analysis",14,1,"2026-01-16 09:13:22"
126,5,MS-4.2,Working Capital Management,"Cash, Receivables, Inventory Management",15,1,"2026-01-16 09:13:22"
127,5,MS-4.3,Capital Budgeting,"NPV, IRR, Payback, Profitability Index",16,1,"2026-01-16 09:13:22"
128,5,MS-4.4,Risk and Leverage,"Operating, Financial, Total Leverage",17,1,"2026-01-16 09:13:22"
129,5,MS-4.5,Capital Structure,"Cost of Capital, WACC, Financing Decisions",18,1,"2026-01-16 09:13:22"
130,5,MS-4.6,Financial Markets,"Money Markets, Capital Markets, Valuation",19,1,"2026-01-16 09:13:22"
131,5,MS-5.0,Macroeconomics,"GDP, Business Cycle, Fiscal/Monetary Policy",20,1,"2026-01-16 09:13:22"
132,5,MS-5.1,Microeconomics,"Supply, Demand, Elasticity, Market Structure",21,1,"2026-01-16 09:13:22"
133,6,RFBT-1.0,Obligations,"Sources, Kinds, Nature and Effects",1,1,"2026-01-16 09:13:22"
134,6,RFBT-1.1,Extinguishment of Obligations,"Payment, Compensation, Novation",2,1,"2026-01-16 09:13:22"
135,6,RFBT-1.2,Contracts,"Essential Requisites, Consent, Defective Contracts",3,1,"2026-01-16 09:13:22"
136,6,RFBT-1.3,Sales,"Nature, Warranties, Installment Sales",4,1,"2026-01-16 09:13:22"
137,6,RFBT-1.4,Credit Transactions,"Pledge, Mortgage, Chattel Mortgage",5,1,"2026-01-16 09:13:22"
138,6,RFBT-2.0,Bouncing Checks Law - BP 22,"Requisites, Comparison with Estafa",6,1,"2026-01-16 09:13:22"
139,6,RFBT-3.0,Consumer Protection,"Product Quality, Deceptive Practices, Consumer Rights",7,1,"2026-01-16 09:13:22"
140,6,RFBT-4.0,Financial Rehabilitation and Insolvency,"Suspension of Payments, Rehabilitation, Liquidation",8,1,"2026-01-16 09:13:22"
141,6,RFBT-5.0,Philippine Competition Act,"Anti-competitive Agreements, Mergers",9,1,"2026-01-16 09:13:22"
142,6,RFBT-6.0,Government Procurement Law,"Bidding Procedures, Alternative Methods",10,1,"2026-01-16 09:13:22"
143,6,RFBT-7.0,Partnership Law,"Formation, Management, Dissolution",11,1,"2026-01-16 09:13:22"
144,6,RFBT-7.1,Corporation Law - Formation,"Incorporation, AOI, By-laws",12,1,"2026-01-16 09:13:22"
145,6,RFBT-7.2,Corporation Law - Capital Structure,"Share Classification, Subscription",13,1,"2026-01-16 09:13:22"
146,6,RFBT-7.3,Corporation Law - Corporate Powers,"General, Specific, Ultra Vires",14,1,"2026-01-16 09:13:22"
147,6,RFBT-7.4,Corporation Law - Stockholders,"Rights, Meetings, Voting",15,1,"2026-01-16 09:13:22"
148,6,RFBT-7.5,Corporation Law - Board of Directors,"Duties, Liabilities, Meetings",16,1,"2026-01-16 09:13:22"
149,6,RFBT-7.6,Corporation Law - Dissolution,"Modes, Liquidation",17,1,"2026-01-16 09:13:22"
150,6,RFBT-7.7,Special Corporations,"One Person Corp, Foreign Corp",18,1,"2026-01-16 09:13:22"
151,6,RFBT-7.8,Merger and Consolidation,"Procedures, Effects",19,1,"2026-01-16 09:13:22"
152,6,RFBT-7.9,Securities Regulation,"SRC Rule 68, Registration",20,1,"2026-01-16 09:13:22"
153,6,RFBT-8.0,Insurance Law,"Elements, Insurable Interest, Claims",21,1,"2026-01-16 09:13:22"
154,6,RFBT-8.1,Cooperatives,"Organization, Types, Dissolution",22,1,"2026-01-16 09:13:22"
155,6,RFBT-8.2,Banking Laws,"PDIC, Bank Secrecy, Truth in Lending",23,1,"2026-01-16 09:13:22"
156,6,RFBT-8.3,Anti-Money Laundering Act,"Covered Persons, Customer Due Diligence",24,1,"2026-01-16 09:13:22"
157,6,RFBT-8.4,Intellectual Property Law,"Patents, Trademarks, Copyright",25,1,"2026-01-16 09:13:22"
158,6,RFBT-8.5,Data Privacy Act,"Principles, Processing, Rights of Data Subject",26,1,"2026-01-16 09:13:22"
159,6,RFBT-8.6,E-Commerce Act,"Legal Recognition, Electronic Documents",27,1,"2026-01-16 09:13:22"
160,6,RFBT-8.7,Ease of Doing Business Act,"Citizen Charter, Streamlined Procedures",28,1,"2026-01-16 09:13:22"
161,6,RFBT-8.8,Labor Law Standards,"Wages, Benefits, Leaves",29,1,"2026-01-16 09:13:22"
162,6,RFBT-8.9,Social Security Law,"Coverage, Benefits, Contributions",30,1,"2026-01-16 09:13:22"
